titulo,endereco,condominio,area,banheiros,suite,vagasEstacionamento,preco
"Apartamento com 2 Quartos e 3 banheiros à Venda, 121 m² por R$ 767.000","Avenida Deputado Antônio Florêncio de Queiroz, 8856 - Ponta Negra, Natal - RN",Não informado,121m²,3 banheiros     ,2 suítes,2 vagas,R$ 767.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 71 m² por R$ 250.000","Areia Preta, Natal - RN",R$ 915,71m²,2 banheiros     ,1 suíte,1 vaga,R$ 250.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 140 m² por R$ 450.000","Rua Vila do Mar, 222 - Ponta Negra, Natal - RN",R$ 850,140m²,4 banheiros     ,2 suítes,2 vagas,R$ 450.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 143 m² por R$ 419.999","Rua Coronel Joaquim Manoel, 625 - Petrópolis, Natal - RN",R$ 850,143m²,3 banheiros     ,1 suíte,1 vaga,R$ 419.999
"Apartamento com 3 Quartos e 4 banheiros à Venda, 106 m² por R$ 539.000","Rua Tereza Campos, 2070 - Lagoa Nova, Natal - RN",R$ 830,106m²,4 banheiros     ,2 suítes,2 vagas,R$ 539.000
"Cobertura com 2 Quartos e 2 banheiros à Venda, 91 m² por R$ 1.132.000","Avenida Praia de Ponta Negra, 9028 - Ponta Negra, Natal - RN",Não informado,91m²,2 banheiros     ,1 suíte,1 vaga,R$ 1.132.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 116 m² por R$ 300.000","Avenida Governador Juvenal Lamartine, 978 - Tirol, Natal - RN",R$ 420,116m²,3 banheiros     ,1 suíte,1 vaga,R$ 300.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 51 m² por R$ 285.000","Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN",Não informado,51m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 1 Quarto e 1 banheiro à Venda, 46 m² por R$ 155.000","Avenida Presidente Café Filho - Praia do Meio, Natal - RN",Não informado,46m²,1 banheiro,,1 vaga,R$ 155.000
"Casa com 6 Quartos e 4 banheiros à Venda, 280 m² por R$ 450.000","Rua Aderbal de França, 1992 - Candelária, Natal - RN",Não informado,280m²,4 banheiros     ,2 suítes,2 vagas,R$ 450.000
"Apartamento com 4 Quartos e 3 banheiros à Venda, 101 m² por R$ 699.000","Avenida Deputado Antônio Florêncio de Queiroz, 3335 - Ponta Negra, Natal - RN",R$ 600,101m²,3 banheiros     ,2 suítes,2 vagas,R$ 699.000
"Apartamento com 3 Quartos e 2 banheiros à Venda, 76 m² por R$ 534.900","Rua Eduardo Gurgel, 1133 - Lagoa Nova, Natal - RN",R$ 850,76m²,2 banheiros     ,1 suíte,2 vagas,R$ 534.900
"Apartamento com 2 Quartos e 2 banheiros à Venda, 55 m² por R$ 229.000","Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN",R$ 410,55m²,2 banheiros     ,1 suíte,1 vaga,R$ 229.000
"Apartamento com 2 Quartos e 2 banheiros à Venda, 50 m² por R$ 285.000","Rua Presbítero Porfírio Gomes da Silva, 1372 - Capim Macio, Natal - RN",R$ 60.012,50m²,2 banheiros     ,1 suíte,1 vaga,R$ 285.000
"Apartamento com 4 Quartos e 5 banheiros à Venda, 150 m² por R$ 980.000","Rua Jundiaí, 721 - Tirol, Natal - RN",R$ 958,150m²,5 banheiros     ,2 suítes,Não informado Solicitar,R$ 980.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 94 m² por R$ 390.000","Rua das Perdizes, 7979 - Pitimbu, Natal - RN",Não informado,94m²,3 banheiros     ,2 suítes,2 vagas,R$ 390.000
"Apartamento com 3 Quartos e 5 banheiros à Venda, 106 m² por R$ 480.000","Rua Jaguarari, 1170 - Barro Vermelho, Natal - RN",R$ 700,106m²,5 banheiros     ,3 suítes,2 vagas,R$ 480.000
"Apartamento com 3 Quartos e 4 banheiros à Venda, 110 m² por R$ 400.000","Rua Francisco Borges de Oliveira, 1577 - Lagoa Nova, Natal - RN",Não informado,110m²,4 banheiros,,2 vagas,R$ 400.000
"Apartamento com 3 Quartos e 3 banheiros à Venda, 78 m² por R$ 162.999","Rua Luciano Bahia, 1855 - Capim Macio, Natal - RN",R$ 530,78m²,3 banheiros     ,2 suítes,1 vaga,R$ 162.999
